german,english,hungarian,type,⍨,score,,
"abgelaufen,-","expired, out of date",lejárt,adj,2014-05-29,5,,
abwesend,"absent, absently","távol lenni, nem jelen lenni (átvitt is)",adj,2014-10-15,5,,
ägyptisch,Egyptian,egyiptomi,adj,2014-10-16,5,,
ähnlich,similar,hasonló,adj,2014-05-01,5,,
albern,ridiculous,infantilis,adj,2014-10-01,5,,
allgemein,general,általános,adj,2014-05-01,5,,
"allmächtig,-",almighty,mindenható,adj,2014-05-01,5,,
alltäglich,"everyday; usual, common","megszokott, mindennapi",adj,2014-10-14,5,,
alltäglich,"ordinary, common, everyday, trivial","hétköznapi, mindennapos",adj,2014-10-14,5,,
amerikanisch,American,amerikai,adj,2014-10-16,5,,
"andauernd,-",continuous; ongoing,folyamatos,adj,2014-05-05,5,,
angeblich,supposedly,állítólag,adj,2014-10-01,5,,
angenehm,pleasant,kellemes,adj,2014-07-14,5,,
ängstlich,timid,félős,adj,2014-10-15,5,,
"anhaltend,-","persistent, continuous; continuously",szakadatlan; szakadatlanul,adj,2014-05-11,5,,
annehmbar,acceptable,elfogadható,adj,2014-05-24,5,,
anständig,"decent, reputable, ethical",tisztességes,adj,2014-09-09,5,,
anstrengend,tiring,fárasztó,adj,2014-05-01,5,,
argentinisch,Argentinian,argentín,adj,2014-10-16,5,,
atemberaubend,"stunning, breathtaking",lélegzetelállító,adj,2014-10-06,5,,
auffällig,"noticeable, striking; conspicuous ",feltűnő; észrevehető,adj,2014-05-01,5,,
aufgebracht,"furious, outraged, upset",magából kikelt,adj,2014-05-05,5,,
aufmerksam,"alert, observant (animal); kind, nice","éber (állat); figyelmes, előzékeny",adj,2014-05-24,5,,
aufrecht,"upright; straightforward, honest",egyenes; őszinte; becsületes,adj,2014-05-01,5,,
ausgeglichen,balanced; even,kiegyensúlyozott,adj,2014-10-01,5,,
ausgezeichnet,excellent,kiváló,adj,2014-06-04,5,,
außergewöhnlich,unusual,szokatlan,adj,2014-05-01,5,,
australisch,Australian,ausztrál,adj,2014-10-16,5,,
auswendig,"by heart, memorized",kívülről (tudni vmit),adj,2014-08-24,5,,
basis,basic,alap,adj,2014-09-23,5,,
beachtlich,"considerable, noticeable, remarkable","jelentős, figyelemfelkeltő",adj,2014-05-01,5,,
bedrängt,pressurized,megszorongatva lenni,adj,2014-05-01,5,,
begabt,"talented, able, capable",tehetséges,adj,2014-10-09,5,,
begeistert,"keen, enthusiastic",elragadtatott,adj,2014-08-24,5,,
"begrenzte,-",limited,korlátozott,adj,2014-05-01,5,,
belgisch,Belgian,belga,adj,2014-10-16,5,,
bemalt,painted,festett,adj,2014-10-14,5,,
bereit,"ready (already, not with sth)",késznek lenni (nem vmivel),adj,2014-10-13,5,,
beschädigte,damaged,sérült,adj,2014-09-14,5,,
beschäftigt,busy,elfoglalt,adj,2014-05-01,5,,
bescheuert,stupid,hülye (viccesen is),adj,2014-05-01,5,,
besondere,"special, particular, extraordinary",különleges,adj,2014-10-13,5,,
bestimmt,"certain, determined",biztos,adj,2014-05-09,5,,
beträchtlich,"substantial, considerable",jelentős,adj,2014-05-01,5,,
"bevorzugt,-",preferred,"preferált, előnnyel rendelkező",adj,2014-05-01,5,,
blauartig,blueish,"kékes, kékszerű",adj,2014-08-02,5,,
blöd,stupid,hülye (nem vicces),adj,2014-05-01,5,,
böse,"vicious, wicked, evil",gonosz,adj,2014-10-11,5,,
brasilianisch,Brazilian,brazil,adj,2014-10-16,5,,
breit,wide,széles,adj,2014-05-01,5,,
britisch,British,britt,adj,2014-10-16,5,,
bunt,colorful,színes,adj,2014-08-24,5,,
chinesisch,Chinese,kínai,adj,2014-10-16,5,,
clever,clever,okos; ravasz,adj,2014-05-01,5,,
deutlich,"articulate, clear; clearly","egyértelmű, jól látható; egyértelműen, jól láthatóan",adj,2014-06-04,5,,
doof,"dumb, silly, fool",hülye; egysíkú; bosszantó; zavaró; naív; agyatlan,adj,2014-08-13,5,,
dumm,dumb,buta,adj,2014-08-02,5,,
dünn,slim,sovány,adj,2014-08-02,5,,
durchsichtig,transparent; clear,átlátszó; érthető,adj,2014-07-06,5,,
ehrgeizig,ambitious,ambíciózus,adj,2014-08-31,5,,
ehrlich,honest,őszinte,adj,2014-08-13,5,,
einfallsreich,"imaginative, resourceful",ötletes,adj,2014-09-01,5,,
eingebildet,smug,beképzelt,adj,2014-08-31,5,,
eingerostet,rusty,rozsdás,adj,2014-08-02,5,,
einig,"agreed, united, in agreement",egyetértésben lenni,adj,2014-10-13,5,,
"einige,-","some, a few, plenty",csomó,adj,2014-05-18,5,,
eitel,vain,hiú,adj,2014-08-24,5,,
ekelhaft,disgusting,gusztustalan,adj,2014-10-01,5,,
elementar,basic (skill level),"alapfokú (tudás, nyelvtudás, A szint)",adj,2014-09-23,5,,
eng,"close, narrow","szűk, szoros",adj,2014-05-01,5,,
englisch,English,angol,adj,2014-10-16,5,,
entscheidend,decisive,döntő,adj,2014-05-01,5,,
enttäuscht,disappointed,csalódott,adj,2014-10-18,5,,
"erfahren,-",senior,tapasztalt,adj,2014-05-01,5,,
erfolgreich,successful,sikeres,adj,2014-05-11,5,,
erfolgsverwöhnt,spoiled by success,sikerhez szokott (kb. elkényeztetette a sors),adj,2014-08-31,5,,
ermüdend,tiring,fárasztó,adj,2014-05-01,5,,
ernst,serious,komoly,adj,2014-10-06,5,,
erschöpft,exhausted,kimerült,adj,2014-06-06,5,,
ertragbar,"bearable, tolerable",elviselhetető,adj,2014-08-13,5,,
estisch,Estonian,észt,adj,2014-10-16,5,,
etabliert,established,közismert,adj,2014-05-01,5,,
exzellent,excellent,kiváló,adj,2014-06-04,5,,
"fällig,-",due,esedékes,adj,2014-05-18,5,,
falsch,fake,hazug,adj,2014-08-24,5,,
faul,rotten; lazy,lusta,adj,2014-06-06,5,,
fein,fine,"nemes, finom, szép",adj,2014-05-24,5,,
feucht,"wet, humid, moist",nedves,adj,2014-05-01,5,,
flach,flat,lapos,adj,2014-05-01,5,,
fleißig,hardworking,szorgalmas,adj,2014-08-24,5,,
fortgeschritten,advanced,"haladó (tudás, nyelvtudás)",adj,2014-09-23,5,,
französisch,French,francia,adj,2014-10-16,5,,
frech,cheeky,pimasz,adj,2014-08-06,5,,
froh,happy (for stg),boldog (vmiért),adj,2014-08-02,5,,
fröhlich,happy (feeling),jókedvű (hangulat); vidám (ember),adj,2014-08-02,5,,
furchtbar,"terrible, horrible","borzalmas, szörnyű",adj,2014-10-01,5,,
gebrochen,broken,tört,adj,2014-10-09,5,,
"gebunden,-","bound, constrained to sth; committed",kötött,adj,2014-08-31,5,,
gefährlich,dangerous,veszélyes,adj,2014-08-06,5,,
geizig,"stingy (colloquial), mean","fösvény, zsugori, fukar, sóher",adj,2014-08-31,5,,
geldgierig,greedy (for money),kapzsi,adj,2014-10-06,5,,
gelungen,successful,"jól sikerült, sikeres",adj,2014-08-13,5,,
gemütlich,"comfortable, cozy, pleasant; friendly, genial, cheerful, easy-going.",kényelmes; kellemes,adj,2014-08-24,5,,
genau,"accurate, precise, exact",pontos (nem időben); pontosan,adj,2014-08-02,5,,
gepflegt,"neat, groomed",ápolt,adj,2014-08-02,5,,
gerne,gladly,szívesen,adj,2014-10-07,5,,
geschickt,"skilled, skillful, handy",ügyes,adj,2014-10-01,5,,
geschieden,divorced,elvált,adj,2014-08-06,5,,
geschmeidig,"supple, nimble, flexible",simulékony,adj,2014-10-14,5,,
gesetzlich,"legal, legitimate, lawful",törvényes; törvényesen,adj,2014-06-04,5,,
giftig,poisonous,mérgező,adj,2014-05-01,5,,
glatt,slippery,csúszós,adj,2014-10-01,5,,
griechisch,Greek,görög,adj,2014-10-16,5,,
großzügig,"generous, noble",nagyvonalú,adj,2014-08-13,5,,
grundkenntnisse,basic (skill level),"alap (tudás, nyelvtudás)",adj,2014-09-23,5,,
